id,cv1,cv2,cv3,cv4
1,0.293584082049576,0.279899129628495,0.209649048567565,0.197349670590149
2,0.273787445126534,0.211292299044568,0.1275808827,0.144684905844155
3,0.182230472339168,0.177789485474186,0.180180883291151,0.175811628004663
4,0.396096084203846,0.386491277982326,0.315241564911472,0.32668350165175
5,0.336377748340493,0.302104799357319,0.21166512928976,0.241593736404895
6,0.276642987740403,0.287092771085456,0.161804001805512,0.220231819095565
7,0.248928887387357,0.18639146387501,0.154065931305269,0.164423817764955
8,0.258679120691072,0.15681610281315,0.170852883387591,0.166965671712677
9,0.347462159291489,0.305462887617492,0.304151431239399,0.290566036288791
10,0.357181607313279,0.221673723295832,0.208291906531977,0.28769337695612
11,0.190774726399636,0.187873647348114,0.161435641688829,0.202030307486186
12,0.212372016703228,0.172026859341083,0.229681065111623,0.168414810426132
13,0.217462253006226,0.162481058302537,0.176553510953321,0.155130847607464
14,0.132962825765856,0.14232194414226,0.0989168778696884,0.104008482210181
15,0.178178839134988,0.175349555256274,0.159634735917753,0.173161099891308
16,0.267923095182066,0.265535398494765,0.180206138184054,0.208983112782402
17,0.310301027413086,0.240236812992116,0.188459300160669,0.204277184102171
18,0.383585686240334,0.257209760383797,0.24243464659459,0.289076050321606
19,0.146403054329995,0.120828387836558,0.0954999497005739,0.0908033634306874
20,0.244819445539493,0.206381577930312,0.235146162790658,0.182242678358835
21,0.23336932829209,0.182027742015793,0.177461517981344,0.20362352545955
22,0.195625775359618,0.156069081868694,0.153239493500184,0.15710896876815
23,0.246821395397791,0.15527935510346,0.151614683035943,0.174088693560268
24,0.205492697114607,0.20701642391775,0.199473781374327,0.263989707816853
25,0.405679205915846,0.212695975806848,0.155160321963162,0.160559752836362
